学年,学期,教学班,课程号,课程名称,开课学院,计划学院,学分,课程性质,课程类别名称,开课类型,年级,专业,成绩录入老师,职称,上课人数,理论,上机,实验,实践,周日,周一,周二,周三,周四,周五,周六,选课备注,其他教师,教材名称,出版社
2025-2026,2,(2025-2026-2)-3140420011003-01,3140420011003,微机原理与接口技术,电气与自动化学院,电气与自动化学院,2.0,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化,王波,教授,75\0,32,,,,,,,,"9-16周1-2节2区A507(78,多媒体)","9-16周3-4节2区A507(78,多媒体)",,,,"微型计算机原理与接口技术,微型计算机原理与接口技术（第5版）","清华大学出版社,清华大学出版社"
2025-2026,2,(2025-2026-2)-3150260011087-01,3150260011087,应用机器学习（理论）,信息管理学院,信息管理学院,2.0,专业教育必修,专业课程,专业教育课程,2023,信息管理与信息系统,李旭晖,副教授,50\0,32,,,,,,,"1-10周3-5节1区5-503(57,多媒体),11周3-4节1区5-503(57,多媒体)",,,,,,机器学习方法,清华大学出版社
2025-2026,2,(2025-2026-2)-3150260011087-01,3150260011087,应用机器学习（理论）,信息管理学院,信息管理学院,2.0,专业教育必修,专业课程,专业教育课程,2023,信息管理与信息系统（本硕博）,李旭晖,副教授,50\0,32,,,,,,,"1-10周3-5节1区5-503(57,多媒体),11周3-4节1区5-503(57,多媒体)",,,,,,机器学习方法,清华大学出版社
2025-2026,2,(2025-2026-2)-3000260011159-01,3000260011159,图像数据智能管理（创）,信息管理学院,信息管理学院,3.0,专业教育选修,创新创业课程,专业教育课程,2023,编辑出版学,张睿,副教授,80\0,48,,,,,"1-16周8-10节1区枫-204(126,多媒体)",,,,,,,,面向大数据的高维数据挖掘技术,西安电子科技大学出版社
2025-2026,2,(2025-2026-2)-3000260011159-01,3000260011159,图像数据智能管理（创）,信息管理学院,信息管理学院,3.0,专业教育选修,创新创业课程,专业教育课程,2023,信息管理与信息系统,张睿,副教授,80\0,48,,,,,"1-16周8-10节1区枫-204(126,多媒体)",,,,,,,,面向大数据的高维数据挖掘技术,西安电子科技大学出版社
2025-2026,2,(2025-2026-2)-3000260011159-01,3000260011159,图像数据智能管理（创）,信息管理学院,信息管理学院,3.0,专业教育选修,创新创业课程,专业教育课程,2023,电子商务,张睿,副教授,80\0,48,,,,,"1-16周8-10节1区枫-204(126,多媒体)",,,,,,,,面向大数据的高维数据挖掘技术,西安电子科技大学出版社
2025-2026,2,(2025-2026-2)-3000260011159-01,3000260011159,图像数据智能管理（创）,信息管理学院,信息管理学院,3.0,专业教育选修,创新创业课程,专业教育课程,2023,图书馆学,张睿,副教授,80\0,48,,,,,"1-16周8-10节1区枫-204(126,多媒体)",,,,,,,,面向大数据的高维数据挖掘技术,西安电子科技大学出版社
2025-2026,2,(2025-2026-2)-3000260011159-01,3000260011159,图像数据智能管理（创）,信息管理学院,信息管理学院,3.0,专业教育选修,创新创业课程,专业教育课程,2023,档案学,张睿,副教授,80\0,48,,,,,"1-16周8-10节1区枫-204(126,多媒体)",,,,,,,,面向大数据的高维数据挖掘技术,西安电子科技大学出版社
2025-2026,2,(2025-2026-2)-3000260011159-01,3000260011159,图像数据智能管理（创）,信息管理学院,信息管理学院,3.0,专业教育选修,创新创业课程,专业教育课程,2023,图书馆学（本硕博）,张睿,副教授,80\0,48,,,,,"1-16周8-10节1区枫-204(126,多媒体)",,,,,,,,面向大数据的高维数据挖掘技术,西安电子科技大学出版社
2025-2026,2,(2025-2026-2)-3000260011159-01,3000260011159,图像数据智能管理（创）,信息管理学院,信息管理学院,3.0,专业教育选修,创新创业课程,专业教育课程,2023,档案学（本硕博）,张睿,副教授,80\0,48,,,,,"1-16周8-10节1区枫-204(126,多媒体)",,,,,,,,面向大数据的高维数据挖掘技术,西安电子科技大学出版社
